module,mode,frequency_hz,synchronous_component,quadrature_component,gain_linear,gain_db,phase_deg,status
power_path,D2V,223.295334,17.927350,-8.752450,19.9498185211,25.9987789873,-26.0224503057,ok
power_path,D2V,233.730896,17.790300,-9.153000,20.0068034201,26.0235540986,-27.2255418294,ok
power_path,D2V,244.654144,17.607300,-9.693100,20.0990845787,26.0635255549,-28.8334862475,ok
power_path,D2V,256.087891,17.337950,-10.267850,20.1502668425,26.0856160343,-30.6347904707,ok
power_path,D2V,268.056000,16.947350,-10.919600,20.1606134873,26.090074871,-32.7946924749,ok
power_path,D2V,280.583405,15.899400,-11.850700,19.8300280093,25.9464665527,-36.6991949287,ok
power_path,D2V,293.696289,15.389400,-12.360750,19.738839199,25.9064321822,-38.7713941256,ok
power_path,D2V,307.421967,16.095800,-12.235500,20.2183638777,26.1149201689,-37.2409076801,ok
power_path,D2V,321.789124,15.722200,-12.851200,20.3061792142,26.1525642955,-39.2622881262,ok
power_path,D2V,336.827728,15.278300,-13.446900,20.3530236206,26.1725787323,-41.3519954323,ok
power_path,D2V,352.569153,14.420200,-14.321900,20.3238526773,26.1601207631,-44.8040451753,ok
power_path,D2V,369.046234,12.538000,-14.438400,19.1224694681,25.6308795236,-49.0296448426,ok
power_path,D2V,386.293365,11.567600,-14.210200,18.3231862349,25.2600199149,-50.8532049262,ok
power_path,D2V,404.346527,10.979200,-13.955200,17.7564196751,24.9871080216,-51.8062368104,ok
power_path,D2V,423.243378,10.569900,-13.846000,17.4193714585,24.820649607,-52.6422424606,ok
power_path,D2V,443.023376,10.294700,-13.999200,17.3769516524,24.7994718558,-53.6700644792,ok
power_path,D2V,463.727753,9.964300,-14.183200,17.3335061869,24.7777283963,-54.9103305292,ok
power_path,D2V,485.399780,9.609900,-14.388200,17.3023257757,24.7620896969,-56.2609801028,ok
power_path,D2V,508.084595,9.236300,-14.894600,17.5259335515,24.8736232152,-58.1965082048,ok
power_path,D2V,531.829590,8.729700,-15.401800,17.7037596383,24.961310092,-60.4555487837,ok
power_path,D2V,556.684265,8.157900,-15.794800,17.7771493623,24.9972424269,-62.6839734987,ok
power_path,D2V,582.700562,7.404500,-16.430300,18.0216918834,25.1159112058,-65.7407544116,ok
power_path,D2V,609.932678,6.586800,-16.976400,18.2094506013,25.2059368572,-68.7938735959,ok
power_path,D2V,638.437439,5.611400,-17.625500,18.4971906032,25.3421154349,-72.3401753374,ok
power_path,D2V,668.274414,4.458100,-18.116600,18.6570590172,25.4168637065,-76.1754366399,ok
power_path,D2V,699.505737,3.146700,-18.549700,18.8147041162,25.4899478582,-80.3722164871,ok
power_path,D2V,732.196655,1.654900,-18.995400,19.0673520755,25.6058077163,-85.0209009596,ok
power_path,D2V,766.415405,-0.053900,-19.008400,19.008476419,25.5789461675,-90.1624668167,ok
power_path,D2V,802.233276,-1.852100,-19.072200,19.1619176298,25.6487793791,-95.5465973176,ok
power_path,D2V,839.725159,-3.775300,-18.795700,19.171104,25.6529424634,-101.357291226,ok
power_path,D2V,878.969116,-5.804900,-18.136500,19.0428331994,25.5946312668,-107.748167705,ok
power_path,D2V,920.047119,-7.891600,-16.856100,18.6119708191,25.395847259,-115.087805832,ok
power_path,D2V,963.044922,-9.604700,-14.912900,17.7382312675,24.9782062569,-122.783687122,ok
power_path,D2V,1008.052185,-10.916100,-13.358000,17.2510116576,24.736291373,-129.255545784,ok
power_path,D2V,1055.162842,-12.011700,-11.373500,16.5419901807,24.3717551739,-136.56325764,ok
power_path,D2V,1104.475098,-12.784900,-9.091200,15.6876889773,23.9111794093,-144.583791356,ok
power_path,D2V,1156.092041,-13.101600,-6.975600,14.8428743146,23.4303601996,-151.968112804,ok
power_path,D2V,1210.121216,-12.977700,-4.751600,13.8202170696,22.8102972882,-159.890515128,ok
power_path,D2V,1266.675415,-12.501900,-2.719400,12.7942424539,22.1402915289,-167.728243639,ok
power_path,D2V,1325.872681,-11.510000,-1.097800,11.5622344225,21.2608354076,-174.551728023,ok
power_path,D2V,1387.836426,-10.532000,0.388400,10.5391592909,20.4561193715,177.887998414,ok
power_path,D2V,1452.696045,-9.333200,1.461900,9.44699813962,19.5058765966,171.097843597,ok
power_path,D2V,1520.586792,-8.165100,2.291900,8.48066410253,18.5685972451,164.320852462,ok
power_path,D2V,1591.650391,-7.090600,2.937700,7.67506935799,17.7016461759,157.49532861,ok
power_path,D2V,1666.035034,-6.015700,3.356200,6.88859382821,16.7626115645,150.842554553,ok
power_path,D2V,1743.896118,-4.983100,3.527600,6.10534580266,15.7142053425,144.704836459,ok
power_path,D2V,1825.395874,-4.055500,3.608700,5.42860902442,14.6937712864,138.33639684,ok
power_path,D2V,1910.704468,-3.130800,3.466100,4.67073418747,13.3877030439,132.0903368,ok
power_path,D2V,2000.000000,-2.297900,3.284100,4.00819875006,12.0589849653,124.980660888,ok
